rank,id,name_en,name_th,province,province_th,region,tier,reality,league,composite_score,livability,economy,safety,wellbeing,environment,hospitality,digital,gpp_per_capita_baht,data_confidence,smart_dimensions,tagline_en
1,phuket,Phuket Smart City,ภูเก็ตสมาร์ทซิตี้,Phuket,ภูเก็ต,south,alpha,operational,province,72.6,76,80,57,68,64,88,72,492000,high,economy; energy; environment; governance; living; mobility; people,"Thailand's most functional smart tourism city — and one of three coastal provinces (with Pattaya and Krabi) explicitly named in the World Bank CCDR 2025 as particularly vulnerable to heat stress shortening outdoor tourism seasons and shifting visitor preferences toward cooler destinations. On private-sector climate response: 695 hotels have joined TAT's CF-Hotels sustainability platform, but only 160 self-reported emissions data in 2024. Coastal resorts are co-financing mangrove restoration to prevent erosion and storm surge damage. The smart infrastructure is real. The climate resilience investment is real but still front-loaded toward hardware."
2,samyan,Samyan Smart City,สามย่านสมาร์ทซิตี้,Bangkok,กรุงเทพฯ,bangkok,alpha,operational,district,71.9,71,82,70,74,48,72,82,628000,high,economy; energy; environment; governance; living; mobility; people,"Bangkok's highest-functioning smart district — and the most invested in answering whether the capital can outrun its climate tail risks. World Bank CCDR 2025: Bangkok faces land subsidence compounded by sea level rise and intensifying storm surges, with scenarios where the capital region — accounting for half of national GDP — becomes substantially more flood-prone. The BMA responded in 2024 with a four-phase Urban Heat Management Framework (monitoring phase 27–32.9°C, warning 33–41.9°C, critical 42–51.9°C, extreme beyond 52°C), two million trees planted, and a 15-minute parks programme. Samyan is where the evidence of Bangkok's intent lives."
3,chiang-mai-old-town,Chiang Mai Smart Old Town,เชียงใหม่สมาร์ทโอลด์ทาวน์,Chiang Mai,เชียงใหม่,north,alpha,operational,district,67,71,68,59,70,38,92,65,168000,high,economy; environment; living; mobility; people,"Cultural heart of the north. Real smart city with heritage preservation tech and digital tourism, held back by seasonal burning haze."
4,cmu-smart-city,CMU Smart City,มหาวิทยาลัยเชียงใหม่ สมาร์ทซิตี้,Chiang Mai,เชียงใหม่,north,alpha,operational,campus,66.9,69,62,61,75,58,70,80,168000,high,economy; energy; environment; governance; living; mobility; people,"University campus as living lab. Genuine R&D engine with smart energy grid, AI traffic, and open data platform."
5,phra-ram-4,Phra Ram 4 Smart City,พระราม 4 สมาร์ทซิตี้,Bangkok,กรุงเทพฯ,bangkok,alpha,operational,district,66.8,66,78,68,68,44,65,68,628000,high,economy; living; mobility,Bangkok's CBD corridor — where smart infrastructure investment and climate adaptation are converging. The World Bank CCDR 2025 documents elevated flood-resistant designs like IconSiam's elevated structures as early evidence of private-sector climate proofing. Bangkok's road fatality rate of 14 per 100k is Thailand's lowest — dense urban environments can outperform national norms. Air quality and congestion remain the unsolved problems.
6,khon-kaen,Khon Kaen Smart City,ขอนแก่นสมาร์ทซิตี้,Khon Kaen,ขอนแก่น,northeast,alpha,operational,province,66.6,69,70,52,72,58,74,70,155000,high,economy; energy; environment; governance; living; mobility; people,"Isan's economic capital — and the city the World Bank's water security team chose for in-depth fieldwork for its 2025 CCDR, interviewing the Governor and provincial administrative team directly. Finding: Khon Kaen's main water resilience barriers are institutional, not technical — limited authority for local governments to conduct integrated provincial water planning and mobilize small-scale retention pond financing. The LRT and smart bus are real. The water governance gap is equally real, and the World Bank named it."
7,rattanakosin,Rattanakosin Smart District,เขตรัตนโกสินทร์อัจฉริยะ,Bangkok,กรุงเทพฯ,bangkok,alpha,operational,district,66.4,65,72,66,66,46,82,62,628000,high,economy; energy; environment; governance; living; mobility; people,"Bangkok's historic core — named in the World Bank CCDR 2025 alongside Ayutthaya as heritage areas requiring portable flood barriers similar to those used in Venice. Canal water quality monitoring here is not an aesthetic choice: Rattanakosin sits at the heart of the Chao Phraya basin, home to 66% of Thailand's GDP, where the 120-year flood is projected to return every 5–18 years by 2050. Heritage protection and climate adaptation have become the same investment."
8,klong-phadung,Klong Phadung Krung Kasem,คลองผดุงกรุงเกษม,Bangkok,กรุงเทพฯ,bangkok,alpha,operational,district,65.4,63,72,67,65,50,68,72,628000,high,energy; environment; living; mobility; people,Historic canal district revitalized with smart water management and connected public spaces. A genuine urban renewal project.
9,krabi,Krabi Smart City,กระบี่สมาร์ทซิตี้,Krabi,กระบี่,south,alpha,operational,province,65,67,64,56,60,72,84,48,198000,high,economy; energy; environment; living; mobility,"Andaman tourism hub cited by name in the World Bank CCDR 2025 for two things: heat stress vulnerability reducing beach tourism seasons, and the Nai Nang Apiculture Group — a World-Bank-documented example of mangrove restoration paired with beekeeping, supported by Marriott Hotels and selling honey in hotel restaurants. That is nature-based coastal protection with a revenue model attached. Krabi's most valuable smart city investment may be its ecosystem services, not its digital infrastructure — and the World Bank just put that in writing."
10,hat-yai,Hat Yai Smart City,หาดใหญ่สมาร์ทซิตี้,Songkhla,สงขลา,south,beta,operational,municipality,64.2,65,68,58,66,54,76,55,165000,high,economy; energy; environment; governance; living; mobility; people,Southern commercial hub with genuine smart city infrastructure. Smart flood management critical for this flood-prone city.
11,samui,Koh Samui Smart City,เกาะสมุยสมาร์ทซิตี้,Surat Thani,สุราษฎร์ธานี,south,beta,operational,municipality,63.4,63,72,50,58,58,86,52,320000,high,economy; environment; governance; living; people,Island smart city with tourism tech. Real smart waste and water management for an island that badly needs it. Tourism pressure is intense.
12,phangnga,Phang Nga Smart City,พังงาสมาร์ทซิตี้,Phang Nga,พังงา,south,beta,operational,province,63.1,66,56,58,60,76,78,45,158000,high,economy; energy; environment; governance; living; mobility; people,Tsunami-aware smart city with genuine disaster management tech. Environmental monitoring and early warning systems are real.
13,nan,Nan Smart City,น่านสมาร์ทซิตี้,Nan,น่าน,north,beta,operational,province,62.9,70,48,56,65,72,82,45,88000,high,energy; environment; governance; living; people,Small northern city with genuine community-driven smart initiatives. Forest conservation tech and heritage preservation are authentic.
14,chanthaburi,Chanthaburi Smart City,จันทบุรีสมาร์ทซิตี้,Chanthaburi,จันทบุรี,east,beta,operational,province,62.8,66,62,57,60,68,74,42,178000,high,economy; environment; governance; living,Gem city and fruit capital with genuine agri-tech. Smart agriculture for durian and mangosteen farmers is actually working.
15,nonthaburi,Nonthaburi Smart City,นนทบุรีสมาร์ทซิตี้,Nonthaburi,นนทบุรี,central,beta,operational,province,62.7,64,66,67,66,48,60,55,285000,high,economy; environment; governance; living; people,"Bangkok's northern suburb with genuine digital governance. MRT-connected, growing fast, affordable alternative to Bangkok proper."
16,chachoengsao,Chachoengsao Smart City,ฉะเชิงเทราสมาร์ทซิตี้,Chachoengsao,ฉะเชิงเทรา,east,beta,operational,province,62.3,64,72,49,64,56,62,62,422000,high,economy; energy; environment; governance; living; mobility; people,"EEC gateway city with genuine smart infrastructure — and dual climate exposure now precisely quantified. World Bank CCDR 2025 names Chachoengsao as both a priority zone for upper Gulf coastal mud-beach protection AND the EEC province with the largest projected water deficit (897 MCM by 2037, the biggest of the three EEC provinces). The smart flood early warning system is not optional infrastructure here. It is the most important operational system Chachoengsao runs."
17,saensuk,Saensuk Smart City,แสนสุขสมาร์ทซิตี้,Chon Buri,ชลบุรี,east,beta,operational,municipality,62.2,71,64,35,66,62,74,58,380000,high,environment; governance; living,Beachfront municipality that actually works. Smart waste management and beach monitoring are operational. Small but genuine.
18,lampang,Lampang Smart City,ลำปางสมาร์ทซิตี้,Lampang,ลำปาง,north,beta,operational,province,62.1,67,56,57,64,58,76,52,118000,high,economy; energy; environment; governance; living; mobility; people,Horse carriage city going smart. Genuine heritage-tech fusion with smart energy from Mae Moh transition. Air quality still a problem.
19,songkhla-city,Songkhla City,เมืองสงขลา,Songkhla,สงขลา,south,beta,operational,municipality,61.7,62,60,59,62,60,76,48,155000,high,economy; energy; environment; governance; living; mobility; people,Historic lakeside city with genuine smart governance and tourism tech. Strong cultural identity.
20,sritrang,Sri Trang City,ศรีตรังซิตี้,Trang,ตรัง,south,beta,operational,district,61.3,63,55,60,62,68,72,45,128000,high,economy; environment; living,"Quiet southern city with genuine green initiatives. Smart agriculture and environmental monitoring work. Honest, small-scale smart city."
21,chiang-rai,Smart City Chiang Rai,เชียงรายสมาร์ทซิตี้,Chiang Rai,เชียงราย,north,beta,operational,province,61.3,66,56,55,64,55,78,48,108000,high,economy; environment; living; people,Northernmost smart city with cultural tourism tech. Air quality crisis from burning season is the elephant in the room.
22,korat,Korat Smart City,โคราชสมาร์ทซิตี้,Nakhon Ratchasima,นครราชสีมา,northeast,beta,operational,municipality,61.2,65,66,48,64,54,66,58,168000,high,economy; energy; environment; governance; living; mobility; people,"Isan's gateway city with genuine smart transport ambitions. Connected to high-speed rail project. Big potential, still building momentum."
23,phitsanulok-muni,Phitsanulok Municipality,เทศบาลนครพิษณุโลก,Phitsanulok,พิษณุโลก,north,beta,operational,municipality,61,61,60,55,66,60,68,55,132000,high,economy; energy; environment; governance; living; mobility; people,"Lower northern hub with genuine smart governance. Digital citizen services are working. A solid, unflashy smart city that delivers."
24,satun,Satun Smart City,สตูลสมาร์ทซิตี้,Satun,สตูล,south,beta,operational,province,60.4,63,46,66,58,78,70,40,82000,high,economy; energy; environment; governance; living; people,"UNESCO Geopark smart city. Genuine environmental tech for geological heritage preservation. Small, quiet, and real."
25,samut-prakan,Samut Prakan Smart City,สมุทรปราการสมาร์ทซิตี้,Samut Prakan,สมุทรปราการ,central,beta,operational,province,60.4,62,70,60,62,42,55,58,385000,high,economy; energy; environment; governance; living; people,Bangkok's industrial suburb with smart factory tech. Real Industry 4.0 adoption in manufacturing. Livability suffers from congestion and flooding.
26,rayong,Rayong Smart City,ระยองสมาร์ทซิตี้,Rayong,ระยอง,east,beta,operational,province,60.1,69,74,32,62,52,58,58,1020000,high,energy; environment; governance; living; mobility; people,"EEC's industrial powerhouse — highest provincial GPP per capita in Thailand. Smart environmental monitoring around Map Ta Phut is genuinely useful and necessary. The structural constraint: World Bank CCDR 2025 projects Rayong's water supply deficit growing from 170 MCM in 2024 to 292 MCM by 2037. Only 37% of EEC wastewater is currently treated — the largest untapped source of new supply. Water recycling and industrial efficiency are the next competitive edge for this corridor, not expansion."
27,nakhon-si-thammarat,Nakhon Si Thammarat Smart City,นครศรีธรรมราชสมาร์ทซิตี้,Nakhon Si Thammarat,นครศรีธรรมราช,south,beta,operational,province,60.1,58,58,57,62,62,74,50,118000,high,economy; energy; environment; governance; living; mobility; people,Ancient city with real flood management tech. Genuine smart governance and heritage preservation. SLIC's home base.
28,umong,Umong Municipality Smart City,เทศบาลตำบลอุโมงค์สมาร์ทซิตี้,Lamphun,ลำพูน,north,beta,operational,district,60,64,48,64,60,66,68,48,125000,high,economy; energy; environment; governance; living; mobility; people,Tiny municipality with surprisingly comprehensive smart city program. All 7 dimensions covered. Community-driven approach.
29,phitsanulok-nu,Naresuan University Smart City,มหาวิทยาลัยนเรศวรสมาร์ทซิตี้,Phitsanulok,พิษณุโลก,north,beta,operational,campus,58.8,58,52,56,68,62,58,65,132000,high,energy; environment; mobility,University campus smart city focused on energy and mobility research. Genuine R&D output.
